api_id,name,category_large,category_medium,transport,method,url,req_body_fields,resp_body_fields
ka10174,조건검색 실시간 해제,국내주식,조건검색,WEBSOCKET,POST,/api/dostk/websocket,2,4
ka20001,업종현재가요청,국내주식,업종,REST,POST,/api/dostk/sect,2,23
ka20002,업종별주가요청,국내주식,업종,REST,POST,/api/dostk/sect,3,1
ka20003,전업종지수요청,국내주식,업종,REST,POST,/api/dostk/sect,1,1
ka20004,업종틱차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,2,2
ka20005,업종분봉조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,2
ka20006,업종일봉조회요청,국내주식,차트,REST,POST,/api/dostk/chart,2,2
ka20007,업종주봉조회요청,국내주식,차트,REST,POST,/api/dostk/chart,2,2
ka20008,업종월봉조회요청,국내주식,차트,REST,POST,/api/dostk/chart,2,2
ka20009,업종현재가일별요청,국내주식,업종,REST,POST,/api/dostk/sect,2,23
ka20019,업종년봉조회요청,국내주식,차트,REST,POST,/api/dostk/chart,2,2
ka20068,대차거래추이요청(종목별),국내주식,대차거래,REST,POST,/api/dostk/slb,4,1
ka30001,ELW가격급등락요청,국내주식,ELW,REST,POST,/api/dostk/elw,9,2
ka30002,거래원별ELW순매매상위요청,국내주식,ELW,REST,POST,/api/dostk/elw,5,1
ka30003,ELWLP보유일별추이요청,국내주식,ELW,REST,POST,/api/dostk/elw,2,1
ka30004,ELW괴리율요청,국내주식,ELW,REST,POST,/api/dostk/elw,5,1
ka30005,ELW조건검색요청,국내주식,ELW,REST,POST,/api/dostk/elw,5,1
